,sellprice,symbol,selltime,qty,sl,strike,tp,buyprice,buytime,reason,pnl
110,201.3,BANKNIFTY07JAN2131800PE,2021-01-06 09:37:00,25,197.274,31800,207.339,195.26100000000002,2021-01-06 09:38:00,TP HIT,150.97499999999968
111,241.75,BANKNIFTY07JAN2131800CE,2021-01-06 09:39:00,25,246.585,31800,234.4975,234.4975,2021-01-06 09:40:00,TP HIT,181.31249999999994
112,207.6,BANKNIFTY07JAN2131800PE,2021-01-06 09:39:00,25,203.448,31800,213.828,201.37199999999999,2021-01-06 09:40:00,TP HIT,155.70000000000022
113,206.3,BANKNIFTY07JAN2131800PE,2021-01-06 09:41:00,25,202.174,31800,212.489,202.174,2021-01-06 09:44:00,SL HIT,-103.15000000000012
114,195.9,BANKNIFTY07JAN2131900CE,2021-01-06 09:45:00,25,199.818,31900,190.023,199.818,2021-01-06 09:46:00,SL HIT,-97.95000000000016
115,206.8,BANKNIFTY07JAN2131900CE,2021-01-06 09:47:00,25,210.936,31900,200.596,210.936,2021-01-06 09:49:00,SL HIT,-103.39999999999989
116,232.6,BANKNIFTY07JAN2131900PE,2021-01-06 09:47:00,25,227.948,31900,239.578,227.948,2021-01-06 09:49:00,SL HIT,-116.29999999999967
117,233.4,BANKNIFTY07JAN2131900PE,2021-01-06 09:50:00,25,228.732,31900,240.40200000000002,228.732,2021-01-06 09:51:00,SL HIT,-116.70000000000016
118,220.9,BANKNIFTY07JAN2131900CE,2021-01-06 09:52:00,25,225.318,31900,214.273,214.273,2021-01-06 09:54:00,TP HIT,165.67500000000024
119,223.4,BANKNIFTY07JAN2131900PE,2021-01-06 09:52:00,25,218.93200000000002,31900,230.102,216.698,2021-01-06 09:54:00,TP HIT,167.54999999999995
120,212.0,BANKNIFTY07JAN2131900CE,2021-01-06 09:55:00,25,216.24,31900,205.64,205.64,2021-01-06 09:56:00,TP HIT,159.00000000000034
121,231.75,BANKNIFTY07JAN2131900PE,2021-01-06 09:57:00,25,227.115,31900,238.7025,227.115,2021-01-06 09:58:00,SL HIT,-115.87499999999977
122,227.6,BANKNIFTY07JAN2131900PE,2021-01-06 09:59:00,25,223.048,31900,234.428,220.772,2021-01-06 10:00:00,TP HIT,170.70000000000007
123,214.6,BANKNIFTY07JAN2131900CE,2021-01-06 10:01:00,25,218.892,31900,208.162,208.162,2021-01-06 10:03:00,TP HIT,160.9499999999997
124,226.85,BANKNIFTY07JAN2131900PE,2021-01-06 10:01:00,25,222.313,31900,233.6555,220.0445,2021-01-06 10:03:00,TP HIT,170.13749999999987
125,201.85,BANKNIFTY07JAN2131900CE,2021-01-06 10:04:00,25,205.887,31900,195.7945,205.887,2021-01-06 10:06:00,SL HIT,-100.92500000000015
126,241.5,BANKNIFTY07JAN2131900PE,2021-01-06 10:04:00,25,236.67,31900,248.745,236.67,2021-01-06 10:06:00,SL HIT,-120.75000000000031
127,238.1,BANKNIFTY07JAN2131800CE,2021-01-06 10:07:00,25,242.862,31800,230.957,242.862,2021-01-06 10:10:00,SL HIT,-119.05000000000001
128,213.9,BANKNIFTY07JAN2131800PE,2021-01-06 10:07:00,25,209.622,31800,220.317,209.622,2021-01-06 10:10:00,SL HIT,-106.94999999999979
129,233.5,BANKNIFTY07JAN2131800CE,2021-01-06 10:11:00,25,238.17,31800,226.495,226.495,2021-01-06 10:13:00,TP HIT,175.1249999999999
130,218.6,BANKNIFTY07JAN2131800PE,2021-01-06 10:11:00,25,214.228,31800,225.158,212.042,2021-01-06 10:13:00,TP HIT,163.94999999999982
131,214.8,BANKNIFTY07JAN2131800PE,2021-01-06 10:14:00,25,210.50400000000002,31800,221.244,210.50400000000002,2021-01-06 10:15:00,SL HIT,-107.3999999999998
132,214.8,BANKNIFTY07JAN2131800PE,2021-01-06 10:14:00,25,210.50400000000002,31800,221.244,210.0,2021-01-06 10:15:00,Time Up,120.00000000000028
133,238.7,BANKNIFTY07JAN2131800CE,2021-01-06 10:14:00,25,243.474,31800,231.539,242.75,2021-01-06 10:15:00,Time Up,-101.25000000000028
134,127.8,BANKNIFTY07JAN2132100CE,2021-01-07 09:15:00,25,130.356,32100,123.966,123.966,2021-01-07 09:16:00,TP HIT,95.85000000000008
135,110.85,BANKNIFTY07JAN2132100CE,2021-01-07 09:17:00,25,113.067,32100,107.52449999999999,113.067,2021-01-07 09:18:00,SL HIT,-55.42499999999997
136,151.5,BANKNIFTY07JAN2132100PE,2021-01-07 09:17:00,25,148.47,32100,156.045,148.47,2021-01-07 09:18:00,SL HIT,-75.75000000000003
137,124.3,BANKNIFTY07JAN2132100CE,2021-01-07 09:19:00,25,126.786,32100,120.571,120.571,2021-01-07 09:20:00,TP HIT,93.22499999999998
138,125.1,BANKNIFTY07JAN2132100PE,2021-01-07 09:21:00,25,122.598,32100,128.85299999999998,122.598,2021-01-07 09:22:00,SL HIT,-62.54999999999988
139,118.9,BANKNIFTY07JAN2132100PE,2021-01-07 09:23:00,25,116.522,32100,122.46700000000001,116.522,2021-01-07 09:27:00,SL HIT,-59.45
140,126.15,BANKNIFTY07JAN2132100CE,2021-01-07 09:28:00,25,128.673,32100,122.36550000000001,122.36550000000001,2021-01-07 09:29:00,TP HIT,94.61249999999986
141,116.2,BANKNIFTY07JAN2132100PE,2021-01-07 09:28:00,25,113.876,32100,119.686,112.714,2021-01-07 09:29:00,TP HIT,87.1500000000001
142,118.0,BANKNIFTY07JAN2132100CE,2021-01-07 09:30:00,25,120.36,32100,114.46,120.36,2021-01-07 09:34:00,SL HIT,-58.999999999999986
143,122.45,BANKNIFTY07JAN2132100PE,2021-01-07 09:30:00,25,120.001,32100,126.1235,120.001,2021-01-07 09:34:00,SL HIT,-61.22499999999995
144,119.45,BANKNIFTY07JAN2132100CE,2021-01-07 09:35:00,25,121.839,32100,115.8665,115.8665,2021-01-07 09:36:00,TP HIT,89.58750000000002
145,114.0,BANKNIFTY07JAN2132100PE,2021-01-07 09:35:00,25,111.72,32100,117.42,110.58,2021-01-07 09:36:00,TP HIT,85.50000000000004
146,115.85,BANKNIFTY07JAN2132100CE,2021-01-07 09:37:00,25,118.16699999999999,32100,112.3745,112.3745,2021-01-07 09:38:00,TP HIT,86.88749999999992
147,114.8,BANKNIFTY07JAN2132100PE,2021-01-07 09:37:00,25,112.50399999999999,32100,118.244,111.356,2021-01-07 09:38:00,TP HIT,86.10000000000007
148,114.65,BANKNIFTY07JAN2132100CE,2021-01-07 09:39:00,25,116.94300000000001,32100,111.21050000000001,111.21050000000001,2021-01-07 09:40:00,TP HIT,85.98749999999988
149,115.75,BANKNIFTY07JAN2132100PE,2021-01-07 09:39:00,25,113.435,32100,119.2225,112.2775,2021-01-07 09:40:00,TP HIT,86.81249999999991
150,124.25,BANKNIFTY07JAN2132100PE,2021-01-07 09:41:00,25,121.765,32100,127.9775,121.765,2021-01-07 09:42:00,SL HIT,-62.124999999999986
151,104.0,BANKNIFTY07JAN2132100CE,2021-01-07 09:43:00,25,106.08,32100,100.88,100.88,2021-01-07 09:45:00,TP HIT,78.00000000000011
152,126.2,BANKNIFTY07JAN2132100PE,2021-01-07 09:43:00,25,123.676,32100,129.986,122.414,2021-01-07 09:45:00,TP HIT,94.65000000000003
153,98.0,BANKNIFTY07JAN2132100CE,2021-01-07 09:46:00,25,99.96,32100,95.06,99.96,2021-01-07 09:47:00,SL HIT,-48.999999999999844
154,136.2,BANKNIFTY07JAN2132100PE,2021-01-07 09:46:00,25,133.476,32100,140.286,133.476,2021-01-07 09:47:00,SL HIT,-68.09999999999974
155,98.55,BANKNIFTY07JAN2132100CE,2021-01-07 09:48:00,25,100.521,32100,95.59349999999999,100.521,2021-01-07 09:50:00,SL HIT,-49.27500000000009
156,137.55,BANKNIFTY07JAN2132100PE,2021-01-07 09:48:00,25,134.799,32100,141.6765,134.799,2021-01-07 09:50:00,SL HIT,-68.77500000000012
157,90.85,BANKNIFTY07JAN2132100CE,2021-01-07 09:51:00,25,92.66699999999999,32100,88.1245,92.66699999999999,2021-01-07 09:52:00,SL HIT,-45.42499999999983
158,143.65,BANKNIFTY07JAN2132100PE,2021-01-07 09:51:00,25,140.77700000000002,32100,147.95950000000002,140.77700000000002,2021-01-07 09:52:00,SL HIT,-71.82499999999976
159,99.3,BANKNIFTY07JAN2132000PE,2021-01-07 09:53:00,25,97.314,32000,102.279,96.321,2021-01-07 09:54:00,TP HIT,74.47499999999998
160,98.6,BANKNIFTY07JAN2132000PE,2021-01-07 09:55:00,25,96.628,32000,101.55799999999999,96.628,2021-01-07 09:56:00,SL HIT,-49.299999999999855
